,0
0,0.9923664122137404
1,0.9246575342465754
2,0.9852941176470589
3,1.0
4,0.984375
5,1.0
6,0.9928571428571429
7,0.9574468085106383
8,0.9391891891891891
9,0.9869281045751634
10,1.0
11,0.9694656488549618
12,0.967741935483871
13,1.0
14,1.0
15,1.0
16,1.0
17,0.9166666666666666
18,0.863013698630137
19,1.0
20,0.9402985074626866
21,1.0
22,0.9712230215827338
23,0.7746478873239436
24,1.0
25,0.8675496688741722
26,0.8741258741258742
27,1.0
28,0.9932885906040269
29,0.9673202614379085
30,0.743801652892562
31,0.9471153846153846
32,0.6844262295081968
33,1.0
34,0.18725099601593626
35,0.6025641025641025
36,0.18951612903225806
37,0.7130044843049327
38,0.3274336283185841
39,0.9012345679012346
40,0.5063291139240507
41,0.8847926267281107
42,0.9033816425120773
43,0.5793991416309013
