,0
0,0.9944444444444445
1,0.9833333333333333
2,0.6777777777777778
3,0.3277777777777778
4,0.9888888888888889
5,0.6055555555555555
6,0.6888888888888889
7,0.8222222222222222
8,0.6222222222222222
9,0.7222222222222222
10,0.3111111111111111
11,0.8444444444444444
12,0.9222222222222223
13,0.9888888888888889
14,0.9444444444444444
15,0.2611111111111111
16,0.9055555555555556
17,0.9222222222222223
18,0.6333333333333333
19,0.8388888888888889
20,0.6388888888888888
21,0.8
22,0.7055555555555556
23,0.36666666666666664
24,0.5777777777777777
25,0.6722222222222223
26,0.9666666666666667
27,1.0
28,0.8944444444444445
29,0.7555555555555555
30,0.3592592592592593
31,0.8888888888888888
32,0.37407407407407406
33,0.9962962962962963
34,0.17407407407407408
35,0.7
36,0.24074074074074073
37,0.8481481481481481
38,0.26296296296296295
39,0.6777777777777778
40,0.762962962962963
41,0.8888888888888888
42,0.9740740740740741
43,0.6666666666666666
