,0
0,90.0
1,93.33333333333333
2,83.33333333333334
3,90.0
4,76.66666666666667
5,66.66666666666666
6,90.0
7,83.33333333333334
8,96.66666666666667
9,90.0
10,93.33333333333333
11,70.0
12,46.666666666666664
13,66.66666666666666
14,100.0
15,93.33333333333333
16,90.0
17,90.0
18,93.33333333333333
19,83.33333333333334
20,80.0
21,86.66666666666667
22,86.66666666666667
23,100.0
24,100.0
25,86.66666666666667
26,76.66666666666667
27,100.0
28,83.33333333333334
29,90.0
30,83.33333333333334
31,60.0
32,86.66666666666667
33,96.66666666666667
34,90.0
35,86.66666666666667
36,93.33333333333333
37,66.66666666666666
38,63.33333333333333
39,83.33333333333334
40,93.33333333333333
41,66.66666666666666
42,73.33333333333333
43,96.66666666666667
