,0
0,78.0
1,74.0
2,78.0
3,74.0
4,76.0
5,76.0
6,76.0
7,72.0
8,76.0
9,76.0
10,74.0
11,76.0
12,76.0
13,76.0
14,74.0
15,76.0
16,76.0
17,72.0
18,76.0
19,74.0
20,74.0
21,76.0
22,78.0
23,72.0
24,78.0
25,76.0
26,72.0
27,78.0
28,76.0
29,78.0
30,86.0
31,84.0
32,86.0
33,84.0
34,88.0
35,84.0
36,86.0
37,84.0
38,86.0
39,84.0
40,88.0
41,84.0
42,88.0
43,84.0
