순번,영화명,감독,배급사,개봉일,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,분기,일반상영관 가격
108,건축학개론,이용주,롯데쇼핑㈜롯데엔터테인먼트,2012-03-22,한국,593,30219800500,"4,110,645",11003948000,"1,431,173",멜로/로맨스,12세이상관람가,1,8500
109,미이라 3:황제의 무덤,롭 코헨,유니버설픽쳐스인터내셔널 코리아(유),2008-07-30,미국,527,26222207084,"4,090,795",6942890084,"1,027,371",액션,12세이상관람가,3,7500
110,7급 공무원,신태라,롯데쇼핑㈜롯데엔터테인먼트,2009-04-22,한국,475,26701311856,"4,088,799",8090460000,"1,173,540",코미디,12세이상관람가,2,8500
111,다크 나이트,크리스토퍼 놀란,"주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)",2008-08-06,미국,462,27059471306,"4,087,355",10406924000,"1,487,898",범죄,15세이상관람가,3,7500
112,댄싱퀸,이석훈,씨제이이앤엠(주),2012-01-18,한국,534,30129259500,"4,057,546",8223006000,"1,055,086",코미디,12세이상관람가,1,8500
113,우리 생애 최고의 순간,임순례,(주)싸이더스,2008-01-10,한국,418,26151780425,"4,044,582",8551706425,"1,264,173",드라마,전체관람가,1,7500
114,꾼,장창원,(주)쇼박스,2017-11-22,한국,"1,314",31312029795,"4,018,035",7524164445,"931,841",범죄,15세이상관람가,4,9500
115,강철비,양우석,(주)넥스트엔터테인먼트월드(NEW),2017-12-14,한국,"1,426",31983233566,"4,012,889",7836617016,"954,933",액션,15세이상관람가,4,9500
116,혹성탈출: 반격의 서막,맷 리브스,이십세기폭스코리아(주),2014-07-10,미국,922,31509793095,"4,002,134",9067860195,"1,095,630",액션,12세이상관람가,3,9500
117,타짜-신의 손,강형철,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스",2014-09-03,한국,890,32267244827,"4,001,813",8495857527,"1,016,403",드라마,청소년관람불가,3,9500
