구별,강간,강도,살인,절도,폭력,강간검거율,강도검거율,살인검거율,절도검거율,폭력검거율,인구수,CCTV,범죄,검거
강남구,0.9999999999999998,0.9411764705882353,0.9166666666666666,0.9534724598015737,0.6613856703712462,77.728285077951,85.71428571428571,76.92307692307693,42.857142857142854,86.48459383753502,565731.0,3238,4.472701267427722,85.46306611114227
강동구,0.1556195965417867,0.05882352941176466,0.16666666666666666,0.4457748888128634,0.28966658784582644,78.84615384615384,100.0,75.0,33.34742180896027,82.89085545722715,446760.0,1010,1.116551269278908,85.55022576390748
강북구,0.14697406340057634,0.5294117647058822,0.41666666666666663,0.12692439274717754,0.2747694490423268,82.35294117647058,92.85714285714286,100.0,43.09623430962343,88.63722159305398,329042.0,831,1.4947463365626295,94.07072761768072
관악구,0.6282420749279538,0.41176470588235287,0.5833333333333334,0.5620937393089291,0.42823362497044226,69.0625,100.0,88.88888888888889,30.56171470805617,80.10915706488781,522849.0,2109,2.6136674784230114,85.21222448195587
광진구,0.39769452449567716,0.5294117647058822,0.16666666666666666,0.6715703044816969,0.26909434854575554,91.66666666666666,100.0,100.0,42.2009253139458,83.04761904761905,372414.0,878,2.0344376088956784,96.37581975731734
구로구,0.515850144092219,0.588235294117647,0.5,0.43516934656175155,0.35942303144951526,58.362989323843415,73.33333333333333,75.0,38.07280513918629,80.87795144662454,443288.0,1884,2.3986778162211326,75.27790635466599
금천구,0.14121037463976943,0.05882352941176466,0.08333333333333334,0.17242559014710912,0.13407424923149686,80.79470198675497,100.0,100.0,56.66879387364391,86.46543330087634,253646.0,1348,0.5898670767634735,97.9971394327299
노원구,0.2737752161383285,0.11764705882352938,0.6666666666666666,0.3865891207663359,0.2922676755734216,61.42131979695431,100.0,100.0,36.52530779753762,85.53066470804261,562278.0,1566,1.736945737968282,88.64617415331136
도봉구,0.0,0.23529411764705882,0.08333333333333334,0.0,0.0,100.0,100.0,100.0,44.96707431796801,87.62609280430397,347338.0,825,0.31862745098039214,100.0
동대문구,0.20461095100864551,0.4705882352941176,0.24999999999999997,0.3140608963393773,0.25088673445258924,84.39306358381504,100.0,100.0,41.090358404846036,87.40188383045526,367769.0,1870,1.4901468170947298,95.44425044106504
동작구,0.5273775216138328,0.23529411764705882,0.24999999999999997,0.2743756414642491,0.10002364625206905,48.771929824561404,55.55555555555556,100.0,35.442359249329755,83.0890052356021,410703.0,1302,1.3870709269772097,74.63336788530299
마포구,0.5533141210374639,0.5294117647058822,0.5,0.5104344851180294,0.353747930952944,84.01360544217688,71.42857142857143,100.0,31.81996086105675,84.44518940663761,387776.0,980,2.4469083018143194,85.92538102511915
서대문구,0.1498559077809798,0.0,0.0,0.25624358535750935,0.13454717427287777,80.51948051948052,80.0,100.0,40.728476821192054,83.21984435797665,326479.0,1254,0.5406466674113669,88.87514434317907
서초구,0.8386167146974062,0.23529411764705882,0.5,0.5378036264112214,0.21565381886970914,63.358778625954194,66.66666666666666,75.0,41.40417457305503,87.45310546060858,447177.0,2297,2.3273682776253954,77.1816918763104
성동구,0.06916426512968299,0.23529411764705882,0.16666666666666666,0.18611016079370513,0.029557815086308836,94.44444444444444,88.88888888888889,100.0,37.14996888612321,86.53846153846155,312933.0,1327,0.6867930253234225,94.08881015517144
성북구,0.13832853025936598,0.0,0.24999999999999997,0.24700650017105708,0.1707259399385198,82.66666666666667,80.0,100.0,41.51260504201681,83.97464916251698,458261.0,1651,0.8060609703689429,89.72724267775804
송파구,0.340057636887608,0.4705882352941176,0.75,0.7444406431748204,0.42752423740837076,80.9090909090909,76.92307692307693,90.9090909090909,34.85643717196666,84.55235204855842,668366.0,1081,2.732610752764917,85.10306586921345
양천구,0.8069164265129682,0.8235294117647058,0.6666666666666666,0.9999999999999999,1.0,77.4869109947644,84.21052631578947,100.0,48.469643753135976,83.06508047585724,476627.0,2482,4.297112504944341,90.90114949235905
영등포구,0.5561959654178674,1.0,0.9999999999999999,0.6503592199794731,0.4930243556396311,62.03389830508475,90.9090909090909,85.71428571428571,32.99595141700405,82.89473684210526,401908.0,1277,3.6995795410369716,81.95875250321699
용산구,0.2651296829971181,0.5294117647058822,0.24999999999999997,0.16900444748546017,0.13312839914873498,89.17525773195877,100.0,100.0,37.70070648683366,83.1219512195122,243922.0,2096,1.3466742943371957,94.77678951004307
은평구,0.18443804034582129,0.23529411764705882,0.08333333333333334,0.2911392405063291,0.27571529912508874,84.93975903614458,66.66666666666666,100.0,37.14733542319749,86.92046739540143,491899.0,2108,1.0699200309576313,86.84238612008086
종로구,0.31412103746397696,0.35294117647058826,0.33333333333333337,0.3835100923708519,0.19058879167651932,76.30331753554502,81.81818181818183,83.33333333333334,38.324175824175825,84.21282163105103,164640.0,1619,1.5744944313152698,84.14183528687248
중구,0.19596541786743515,0.23529411764705882,0.08333333333333334,0.5080396852548751,0.1742728777488768,65.29411764705883,66.66666666666666,66.66666666666666,33.712715855573,88.3093525179856,134174.0,1023,1.196905431851579,74.12265003790951
중랑구,0.24495677233429397,0.35294117647058826,0.9166666666666666,0.36674649332877174,0.32158902813904,79.14438502673798,81.81818181818183,92.3076923076923,38.82903981264637,84.54513523006673,414554.0,916,2.2029001369393604,87.06666281875579
