,0
0,83.33333333333334
1,93.33333333333333
2,76.66666666666667
3,86.66666666666667
4,83.33333333333334
5,66.66666666666666
6,86.66666666666667
7,80.0
8,96.66666666666667
9,93.33333333333333
10,96.66666666666667
11,66.66666666666666
12,36.666666666666664
13,76.66666666666667
14,93.33333333333333
15,93.33333333333333
16,86.66666666666667
17,96.66666666666667
18,93.33333333333333
19,90.0
20,86.66666666666667
21,86.66666666666667
22,90.0
23,100.0
24,100.0
25,86.66666666666667
26,83.33333333333334
27,100.0
28,80.0
29,93.33333333333333
30,83.33333333333334
31,70.0
32,93.33333333333333
33,90.0
34,93.33333333333333
35,96.66666666666667
36,100.0
37,66.66666666666666
38,66.66666666666666
39,73.33333333333333
40,100.0
41,66.66666666666666
42,66.66666666666666
43,96.66666666666667
