,0
0,0.9555555555555556
1,1.0
2,1.0
3,0.9888888888888889
4,0.9777777777777777
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,0.9888888888888889
11,1.0
12,0.6222222222222222
13,0.9888888888888889
14,0.9888888888888889
15,1.0
16,1.0
17,1.0
18,0.5
19,1.0
20,1.0
21,1.0
22,0.9888888888888889
23,1.0
24,1.0
25,1.0
26,0.9888888888888889
27,0.9888888888888889
28,0.9777777777777777
29,0.9888888888888889
30,1.0
31,1.0
32,0.9888888888888889
33,1.0
34,1.0
35,1.0
36,1.0
37,0.9444444444444444
38,1.0
39,0.9888888888888889
40,1.0
41,1.0
42,1.0
43,1.0
