,0
0,93.33333333333333
1,96.66666666666667
2,73.33333333333333
3,83.33333333333334
4,73.33333333333333
5,70.0
6,86.66666666666667
7,86.66666666666667
8,96.66666666666667
9,90.0
10,90.0
11,80.0
12,40.0
13,76.66666666666667
14,93.33333333333333
15,96.66666666666667
16,76.66666666666667
17,96.66666666666667
18,90.0
19,86.66666666666667
20,90.0
21,90.0
22,86.66666666666667
23,100.0
24,100.0
25,93.33333333333333
26,86.66666666666667
27,100.0
28,80.0
29,86.66666666666667
30,86.66666666666667
31,63.33333333333333
32,93.33333333333333
33,100.0
34,96.66666666666667
35,96.66666666666667
36,100.0
37,56.666666666666664
38,50.0
39,73.33333333333333
40,96.66666666666667
41,50.0
42,80.0
43,93.33333333333333
