,0
0,0.9466666666666667
1,0.9966666666666667
2,0.97
3,0.9633333333333334
4,0.9266666666666666
5,0.9433333333333334
6,0.9533333333333334
7,0.9766666666666667
8,0.9866666666666667
9,0.9833333333333333
10,0.9466666666666667
11,0.92
12,0.93
13,0.9333333333333333
14,0.9566666666666667
15,0.9866666666666667
16,0.9366666666666666
17,0.9633333333333334
18,0.9166666666666666
19,0.96
20,0.9466666666666667
21,0.9533333333333334
22,0.97
23,0.9533333333333334
24,0.9733333333333334
25,0.9966666666666667
26,0.9633333333333334
27,0.9833333333333333
28,0.94
29,0.9866666666666667
30,0.976
31,0.932
32,0.982
33,0.956
34,0.982
35,0.988
36,0.986
37,0.94
38,0.956
39,0.986
40,0.972
41,0.972
42,0.932
43,0.944
