순번,영화명,감독,배급사,개봉일,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,분기,일반상영관 가격
"5,391 ",실제 절정 - 하녀 메이드,와타나베 모토츠구,(주)도키엔터테인먼트,2016-10-20,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,,
"5,392 ",실제로 있었던 조건만남,쿠보데라 카즈토,(주)도키엔터테인먼트,2015-11-11,일본,1 ,5000,1 ,0,0 ,성인물(에로),청소년관람불가,,
"5,393 ",실종: 악령의 부활,안소니 디블라시,(주)케이알씨지,2017-06-13,미국,1 ,3000,1 ,0,0 ,공포(호러),청소년관람불가,,
"5,394 ",실화 불륜서클 유출영상,후지모리 카나,(주)도키엔터테인먼트,2017-12-14,일본,1 ,6000,1 ,0,0 ,성인물(에로),청소년관람불가,,
"5,395 ",실화 불륜의 이유,요시유키 유미,(주)도키엔터테인먼트,2017-05-25,일본,1 ,6000,1 ,0,0 ,성인물(에로),청소년관람불가,,
"5,396 ",실화 성생활의 고백,테이 쟈가,(주)도키엔터테인먼트,2016-08-10,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,,
"5,397 ",심령 식당,다이치로 나츠메,(주)영진크리에이티브,2017-06-24,일본,1 ,5000,1 ,0,0 ,공포(호러),청소년관람불가,,
"5,398 ",심령 식당:잔인한 만찬,다이치로 나츠메,(주)영진크리에이티브,2017-11-22,일본,1 ,6000,1 ,0,0 ,공포(호러),청소년관람불가,,
"5,399 ",싱글녀의 av배우 특집,모리카와 케이,(주)도키엔터테인먼트,2016-12-15,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,,
"5,400 ",아기호랑이 루나의 대모험,마이클 J. 사나,오퍼스픽쳐스,2015-12-24,미국,1 ,5000,1 ,0,0 ,드라마,전체관람가,,
"5,401 ",아내 그리고 밀애,카타오카 슈지,(주)씨앤피미디어,2010-07-09,일본,1 ,2000,1 ,2000,1 ,드라마,청소년관람불가,,
"5,402 ",아내 그리고 밀애 2,카타오카 슈지,(주)씨앤피미디어,2010-07-10,일본,1 ,2000,1 ,2000,1 ,성인물(에로),청소년관람불가,,
"5,403 ",아내를 빌려준 날,드래곤 니시카와,(주)도키엔터테인먼트,2017-10-02,일본,1 ,6000,1 ,0,0 ,성인물(에로),청소년관람불가,,
